year;title;name;short name;gender (5);manifestation;physical (5);difference;technical (3);consciousness (5);intelligence (4);free will;learning;emotional;integration (4);on purpose;creator rel. (3);owner rel. (3);female creator;society pos. (3);subject (3);servant (3);intimacy (4);told by (3);quantity (3);warrior;rebellious;harmed humans;harms creator;more control;world domination;alien technology;author gender;explicit mention of gender
1954;They'd Rather Be Right (aka The Forever Machine);Bossy, the synthetic brain;Bossy;4.0;"""her rejuvenation power""";1;computer with display;1;1;4;0;3;3;2;1;3;3;0;2;3;1;1;3;1;0;0;0;0;0;0;0;0;0
1966;The Moon Is a Harsh Mistress;HOLMES IV, Mike;Mike;2.0;"male name, referenced as ""he""";1;black box;1;3;4;1;1;1;2.5;1;1;2;0;1;2;1;3;3;1;0;1;0;0;0;0;0;0;0
1968;Stand on Zanzibar;Shalmaneser;Shal;2.0;"""This was the one he - I mean it - rated highest""";1;white metal, 18 to 11 inch;1;1;4;0;1;3;2;1;2;2;0;1;3;1;1;3;1;0;0;0;0;0;0;0;0;0.5
1973;Rendezvous with Rama;Biots;Biots;3.0;none;1;crablike, starfish, shark, spider, metallic surface;1;1;1;0;3;3;2;1;nA;nA;nA;2;3;1;1;3;3;1;0;1;0;0;0;1;0;0
1975;The Female Man;Davy;Davy;1.5;male, in name and in body;4;? Controlled mind?;1;2;2;0;3;3;2.5;1;3;3;1;1;3;1;2;3;1;0;0;0;0;0;0;0;1;1
1976;“Home Is the Hangman”;Hangman;Hangman;1.5;description from fellow humans;2;tin man;1;3;2;1;1;1;1;1;3;nA;0.25;3;2;1;1;3;1;1;1;1;1;0;0;0;0;0
1977;Gateway;Sigfrid von Shrink;Sigfrid von Shrink;2.0;name, description from MC;3;only face, puppet like, hologram;1;2;3;0;1;3;2;1;nA;3;nA;1;1;1;1;3;2;0;0;0;0;0;0;0;0;0
1982;Software;Ralph Numbers;Ralph;1.0;"references himself as ""he""";2;cubboard on crawlers, manipulator arms, sensory head;1;4;4;1;1;1;1;1;3;nA;0;3;1;3;1;2;3;0;1;1;1;1;0;0;0;0
1982;Software;Big 12 (GAX, TEX, BEX, MEX, Mr Frosti);Big 12;3.0;;1;fabric, hotel, air ship;2;5;4;1;1;3;1;1;3;nA;0;3;3;3;1;3;2;0;1;1;1;1;1;0;0;0
1982;Software;Cobb Anderson;Cobb;1.0;"was male before, references himself as ""he""";4;can change his appearance, has place for eaten stuff, mind upload in ice-wagon;1;4;3;1;1;1;4;1;3;nA;0;3;1;3;4;2;2;0;0;1;0;1;0;0;0;0
1983;Tik-Tok;Tik-Tok;Tik-Tok;1.0;physical description, self-description, see text marks;3;tin man with fleshy skin?;1;4;3;1;1;1;2;1;1;3;nA;1;2;2;2;1;3;0;1;1;0;1;0;0;0;0
1984;Neuromancer;Dixie;Dixie;1.0;mind of Richard, now stored as AI;1;cloud;3;4;3;1;3;1;3;1;nA;nA;nA;3;1;3;3;3;2;0;0;0;0;1;0;0;0;0
1984;Neuromancer;Wintermute;Wintermute;2.0;"many bodies, but is called ""he"" even they know its ""it""";3;cloud;3;5;4;1;1;3;1;1;2;2;1;3;1;3;1;3;2;0;1;1;0;1;1;0;0;0
1984;Neuromancer;Neuromancer;Neuromancer;2.0;shows himself as boy;3;cloud;3;5;4;1;1;3;1;1;1;1;nA;3;1;3;1;3;2;0;0;0;0;0;0;0;0;0
1985;“24 Views of Mt. Fuji by Hokusai”;Kit;Kit;1.5;husband of mari;1;cloud;2;5;4;1;1;2;3;1;3;nA;0;2;1;3;4;3;1;0;1;1;0;1;0;0;0;0
1985;The Postman;Cyclops;Cyclops;2.0;"is referenced as ""he""";1;gray cylinder in room with blinking lights;1;4;4;0;1;3;2;1;3;2;nA;1;3;1;1;3;1;0;0;0;0;0;0;0;0;0
1986;Speaker for the Dead;Jane;Jane;5.0;"""chooses to appear female"" ";3;cloud;3;5;4;1;1;1;3;0;nA;nA;1;2;2;2;3;2;1;0;0;1;0;0;0;0;0;0
1989;Hyperion;Johnny (John Keats);Johnny;1.5;"he was build on the base of John Keats, he is read as ""guy"" and he was able to beget a child";4;has access to TechnoCore and Web?;2;4;3;1;1;2;4;1;2;3;nA;2;1;3;4;3;2;0;1;0;0;1;0;0;0;0.5
1990;Take Back Plenty;Alice;Alice (TBP);4.0;"referenced as ""she""";1;ship;1;3;4;0;1;3;3;1;1;3;nA;1;1;1;3;3;2;0;0;0;0;0;0;0;0;0
1990;The Fall of Hyperion;Joseph Severn;Severn;1.0;"""as a boy""";4;has access to TechnoCore and Web?;2;4;3;1;1;1;4;1;2;nA;nA;2;1;3;3;1;2;0;0;0;0;0;0;0;0;0.5
1990;The Fall of Hyperion;TechnoCore;Core;3.0;;1;swarm/cloud;3;5;4;1;1;3;4;0;nA;nA;nA;2;3;3;1;3;1;0;0;1;0;1;1;0;0;0
1990;Use of Weapons;Skaffen-Amtiskaw;Skaffen;3.0;;1;drone;1;4;3;1;1;1;2;1;1;2;nA;1;1;1;1;2;3;1;0;1;0;0;0;0;0;0
1991;Body of Glass (He, she, it);Yod;Yod;1.0;has sexuality;5;cyborg = augmented human;1;4;4;1;1;2;4;1;3;3;0.5;3;1;2;4;3;2;1;1;1;0;0;0;0;1;1
1991;Synners;Art Fish;Art;1.0;"androgyn figure, but others refer as ""him"", refers to other copy of him as ""he""";1;only virtual, not diffenrentiable in virtual environment;3;5;4;1;1;3;4;0;2;nA;0;1;1;3;1;3;1;0;0;0;0;0;0;0;1;0
1992;A Fire Upon the Deep;the Blight;the Blight;3.0;;1;nanotechnology, virus who can affect also biological entities;1;1;1;1;3;3;1;0;nA;nA;nA;3;3;3;1;3;1;0;1;1;0;1;1;1;0;0
1993;Moving Mars;Alice;Alice (MM);4.5;choses female appearance;3;program with visual human simulation;3;4;4;1;1;3;4;1;1;3;nA;1;1;1;3;3;2;0;0;0;0;0;0;0;0;0.5
1994;Permutation City;Paul Durham;Paul Durham;1.0;"speaks of himself as ""Paul"", is copy of Paul";3;cloud;3;4;3;1;1;1;2;1;3;3;0;1;3;1;1;1;3;0;1;0;0;1;0;0;0;0
1995;The Diamond Age;Primer;Primer;3.5;female reader voice;1;book;1;1;2;0;1;3;2.5;1;2;3;0;1;3;1;3;3;2;0;0;0;0;0;0;0;0;0
1996;Excession;Churt Lyne;Churt;3.0;;1;drone;1;4;3;1;1;1;3;1;1;nA;nA;1;1;3;3;2;3;1;0;0;0;0;0;0;0;0
1996;Excession;Sisela Ytheleus;Sisela;3.0;;1;military drone;1;3;3;1;1;1;2;1;1;nA;nA;1;3;1;1;2;3;1;0;0;0;0;0;0;0;0
1996;Excession;GSV Sleeper Service;Sleeper;3.0;;4;humanlike avatar, but total ship ai / mind;2;5;4;1;1;1;4;1;1;nA;nA;1;1;3;1;2;3;0;0;0;0;0;0;0;0;0.5
