Month,Topic Artificial Intelligence: (worldwide),Topic Machine Learning: (wordwide)
2004-01,86,4
2004-02,91,4
2004-03,89,5
2004-04,89,4
2004-05,90,3
2004-06,81,3
2004-07,82,4
2004-08,80,3
2004-09,87,4
2004-10,84,4
2004-11,92,4
2004-12,88,3
2005-01,78,4
2005-02,81,3
2005-03,79,3
2005-04,76,3
2005-05,76,3
2005-06,71,2
2005-07,67,3
2005-08,69,2
2005-09,72,3
2005-10,73,3
2005-11,73,3
2005-12,69,2
2006-01,66,3
2006-02,70,3
2006-03,67,3
2006-04,70,2
2006-05,67,2
2006-06,70,3
2006-07,63,2
2006-08,65,2
2006-09,75,3
2006-10,68,3
2006-11,71,3
2006-12,62,2
2007-01,65,2
2007-02,61,2
2007-03,69,2
2007-04,65,2
2007-05,66,2
2007-06,69,2
2007-07,63,2
2007-08,62,2
2007-09,66,2
2007-10,64,2
2007-11,65,2
2007-12,65,2
2008-01,63,2
2008-02,67,2
2008-03,68,2
2008-04,66,2
2008-05,68,2
2008-06,65,2
2008-07,63,2
2008-08,65,2
2008-09,65,2
2008-10,69,2
2008-11,69,2
2008-12,64,2
2009-01,65,2
2009-02,66,2
2009-03,66,2
2009-04,69,2
2009-05,70,2
2009-06,75,2
2009-07,69,3
2009-08,71,2
2009-09,72,2
2009-10,68,2
2009-11,67,2
2009-12,67,2
2010-01,71,2
2010-02,66,2
2010-03,68,2
2010-04,70,2
2010-05,68,2
2010-06,63,2
2010-07,60,2
2010-08,72,2
2010-09,67,2
2010-10,71,2
2010-11,67,2
2010-12,67,2
2011-01,65,2
2011-02,64,2
2011-03,62,2
2011-04,65,2
2011-05,67,2
2011-06,66,2
2011-07,63,2
2011-08,67,2
2011-09,66,2
2011-10,72,3
2011-11,72,3
2011-12,73,2
2012-01,74,2
2012-02,72,3
2012-03,74,2
2012-04,69,3
2012-05,65,3
2012-06,60,2
2012-07,59,3
2012-08,58,2
2012-09,59,3
2012-10,63,3
2012-11,61,3
2012-12,62,2
2013-01,59,3
2013-02,58,3
2013-03,59,3
2013-04,55,3
2013-05,56,3
2013-06,55,3
2013-07,54,3
2013-08,54,3
2013-09,54,3
2013-10,56,4
2013-11,55,3
2013-12,54,3
2014-01,54,3
2014-02,55,4
2014-03,55,4
2014-04,52,4
2014-05,54,4
2014-06,51,4
2014-07,50,4
2014-08,53,4
2014-09,60,4
2014-10,53,4
2014-11,54,4
2014-12,55,4
2015-01,60,5
2015-02,56,5
2015-03,55,5
2015-04,56,6
2015-05,57,5
2015-06,56,6
2015-07,56,6
2015-08,54,5
2015-09,57,6
2015-10,55,6
2015-11,59,7
2015-12,56,7
2016-01,58,7
2016-02,56,7
2016-03,67,8
2016-04,60,8
2016-05,60,8
2016-06,60,9
2016-07,53,8
2016-08,53,8
2016-09,62,10
2016-10,67,10
2016-11,70,11
2016-12,69,11
2017-01,73,12
2017-02,71,13
2017-03,73,14
2017-04,75,14
2017-05,77,15
2017-06,78,16
2017-07,77,15
2017-08,85,15
2017-09,82,17
2017-10,86,18
2017-11,93,19
2017-12,90,17
2018-01,92,18
2018-02,91,19
2018-03,91,20
2018-04,92,19
2018-05,97,20
2018-06,88,20
2018-07,86,20
2018-08,86,20
2018-09,94,21
2018-10,99,22
2018-11,98,21
2018-12,91,20
2019-01,95,20
2019-02,97,22
2019-03,98,22
2019-04,99,22
2019-05,100,23
2019-06,100,23
2019-07,98,23
